17/10/22 00:08:43 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.1-hadoop2
17/10/22 00:08:43 INFO client.RMProxy: Connecting to ResourceManager at cluster-780d-m/10.138.0.5:8032
17/10/22 00:08:44 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/10/22 00:08:47 INFO input.FileInputFormat: Total input files to process : 3035
17/10/22 00:08:47 INFO mapreduce.JobSubmitter: number of splits:3035
17/10/22 00:08:47 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1508615598063_0002
17/10/22 00:08:47 INFO impl.YarnClientImpl: Submitted application application_1508615598063_0002
17/10/22 00:08:48 INFO mapreduce.Job: The url to track the job: http://cluster-780d-m:8088/proxy/application_1508615598063_0002/
17/10/22 00:08:48 INFO mapreduce.Job: Running job: job_1508615598063_0002
17/10/22 00:08:56 INFO mapreduce.Job: Job job_1508615598063_0002 running in uber mode : false
17/10/22 01:02:43 INFO mapreduce.Job:  map 75% reduce 0%
17/10/22 01:03:23 INFO mapreduce.Job:  map 76% reduce 0%
17/10/22 01:04:06 INFO mapreduce.Job:  map 77% reduce 0%
17/10/22 01:04:44 INFO mapreduce.Job:  map 78% reduce 0%
17/10/22 01:05:26 INFO mapreduce.Job:  map 79% reduce 0%
17/10/22 01:06:10 INFO mapreduce.Job:  map 80% reduce 0%
17/10/22 01:06:48 INFO mapreduce.Job:  map 81% reduce 0%
17/10/22 01:07:30 INFO mapreduce.Job:  map 82% reduce 0%
17/10/22 01:08:12 INFO mapreduce.Job:  map 83% reduce 0%
17/10/22 01:08:48 INFO mapreduce.Job:  map 84% reduce 0%
17/10/22 01:09:29 INFO mapreduce.Job:  map 85% reduce 0%
17/10/22 01:10:07 INFO mapreduce.Job:  map 86% reduce 0%
17/10/22 01:10:47 INFO mapreduce.Job:  map 87% reduce 0%
17/10/22 01:11:28 INFO mapreduce.Job:  map 88% reduce 0%
17/10/22 01:12:05 INFO mapreduce.Job:  map 89% reduce 0%
17/10/22 01:12:43 INFO mapreduce.Job:  map 90% reduce 0%
17/10/22 01:13:22 INFO mapreduce.Job:  map 91% reduce 0%
17/10/22 01:14:01 INFO mapreduce.Job:  map 92% reduce 0%
17/10/22 01:14:40 INFO mapreduce.Job:  map 93% reduce 0%
17/10/22 01:15:16 INFO mapreduce.Job:  map 94% reduce 0%
17/10/22 01:15:57 INFO mapreduce.Job:  map 95% reduce 0%
17/10/22 01:16:35 INFO mapreduce.Job:  map 95% reduce 3%
17/10/22 01:16:36 INFO mapreduce.Job:  map 95% reduce 7%
17/10/22 01:16:38 INFO mapreduce.Job:  map 95% reduce 11%
17/10/22 01:16:39 INFO mapreduce.Job:  map 95% reduce 15%
17/10/22 01:16:45 INFO mapreduce.Job:  map 96% reduce 15%
17/10/22 01:17:12 INFO mapreduce.Job:  map 96% reduce 16%
17/10/22 01:17:40 INFO mapreduce.Job:  map 97% reduce 16%
17/10/22 01:18:30 INFO mapreduce.Job:  map 98% reduce 16%
17/10/22 01:19:19 INFO mapreduce.Job:  map 99% reduce 16%
17/10/22 01:19:49 INFO mapreduce.Job:  map 99% reduce 17%
17/10/22 01:20:12 INFO mapreduce.Job:  map 100% reduce 17%
17/10/22 01:20:36 INFO mapreduce.Job:  map 100% reduce 18%
17/10/22 01:20:37 INFO mapreduce.Job:  map 100% reduce 19%
17/10/22 01:20:40 INFO mapreduce.Job:  map 100% reduce 20%
17/10/22 01:20:42 INFO mapreduce.Job:  map 100% reduce 22%
17/10/22 01:20:43 INFO mapreduce.Job:  map 100% reduce 23%
17/10/22 01:20:46 INFO mapreduce.Job:  map 100% reduce 24%
17/10/22 01:20:49 INFO mapreduce.Job:  map 100% reduce 25%
17/10/22 01:20:50 INFO mapreduce.Job:  map 100% reduce 39%
17/10/22 01:20:51 INFO mapreduce.Job:  map 100% reduce 40%
17/10/22 01:20:52 INFO mapreduce.Job:  map 100% reduce 46%
17/10/22 01:20:55 INFO mapreduce.Job:  map 100% reduce 47%
17/10/22 01:20:56 INFO mapreduce.Job:  map 100% reduce 48%
17/10/22 01:20:57 INFO mapreduce.Job:  map 100% reduce 50%
17/10/22 01:20:58 INFO mapreduce.Job:  map 100% reduce 52%
17/10/22 01:21:01 INFO mapreduce.Job:  map 100% reduce 53%
